Date,City,GreenCoverage_NDVI,HousingDensity_p_km2,FloodProb_longterm,DroughtIndex_anom,PM25_ug_m3,SurfaceTemp_LST_C
2024-11-10,Kuching,0.625,1500,5,0.198,17.3,32.7
2024-11-11,Kuching,0.63,1500,5,0.034,15.1,33.1
2024-11-12,Kuching,0.632,1500,5,0.033,15.6,32
2024-11-13,Kuching,0.632,1500,5,0.07,16.7,32.2
2024-11-14,Kuching,0.62,1500,5,0.16,17,32.4
2024-11-15,Kuching,0.617,1500,5,0.265,12.8,31.9
2024-11-16,Kuching,0.618,1500,5,0.078,11,32.6
2024-11-17,Kuching,0.634,1500,5,-0.144,10.4,32.2
2024-11-18,Kuching,0.641,1500,5,0.088,10.2,32
2024-11-19,Kuching,0.625,1500,5,0.143,11.5,31.7
2024-11-20,Kuching,0.633,1500,5,0.027,11.7,31.5
2024-11-21,Kuching,0.633,1500,5,0.272,8.8,30.7
2024-11-22,Kuching,0.63,1500,5,0.264,9.8,29.8
2024-11-23,Kuching,0.64,1500,5,0.415,11.2,30.9
2024-11-24,Kuching,0.653,1500,5,0.376,12.2,30.3
2024-11-25,Kuching,0.664,1500,5,0.641,14.1,29.7
2024-11-26,Kuching,0.655,1500,5,0.82,15.3,28.5
2024-11-27,Kuching,0.653,1500,5,0.669,15.5,28.4
2024-11-28,Kuching,0.658,1500,5,0.724,14.6,27.9
2024-11-29,Kuching,0.669,1500,5,0.72,10.7,29.2
2024-11-30,Kuching,0.663,1500,5,0.825,11.6,30
2024-12-01,Kuching,0.662,1500,5,0.562,11.9,29.6
2024-12-02,Kuching,0.651,1500,5,0.586,12.3,31
2024-12-03,Kuching,0.642,1500,5,0.661,9.6,31.5
2024-12-04,Kuching,0.654,1500,5,0.301,7.6,31.1
2024-12-05,Kuching,0.67,1500,5,0.08,10.3,29.4
2024-12-06,Kuching,0.669,1500,5,-0.237,10.3,30.9
2024-12-07,Kuching,0.679,1500,5,-0.242,11.8,29.9
2024-12-08,Kuching,0.682,1500,5,-0.099,11.8,28.9
2024-12-09,Kuching,0.674,1500,5,0.139,11.8,29.7
2024-12-10,Kuching,0.678,1500,5,0.126,13.6,31.2
2024-12-11,Kuching,0.692,1500,5,0.347,12.3,31.8
2024-12-12,Kuching,0.689,1500,5,0.083,12.4,31.9
2024-12-13,Kuching,0.703,1500,5,-0.192,11.4,31.9
2024-12-14,Kuching,0.673,1500,5,-0.179,10.5,32.1
2024-12-15,Kuching,0.682,1500,5,-0.103,10.1,32.2
2024-12-16,Kuching,0.682,1500,5,-0.102,10.8,32
2024-12-17,Kuching,0.679,1500,5,-0.407,10,31.7
2024-12-18,Kuching,0.68,1500,5,-0.371,12.9,31.4
2024-12-19,Kuching,0.66,1500,5,-0.523,11,30.7
2024-12-20,Kuching,0.661,1500,5,-0.358,10.8,30.3
2024-12-21,Kuching,0.668,1500,5,-0.264,10.1,29.2
2024-12-22,Kuching,0.685,1500,5,-0.381,13.4,29.2
2024-12-23,Kuching,0.68,1500,5,-0.417,13.6,28.6
2024-12-24,Kuching,0.672,1500,5,-0.531,15.5,28.1
2024-12-25,Kuching,0.669,1500,5,-0.479,12.1,28.4
2024-12-26,Kuching,0.681,1500,5,-0.284,12.7,29.4
2024-12-27,Kuching,0.685,1500,5,-0.41,14.5,29.9
2024-12-28,Kuching,0.68,1500,5,-0.294,14.5,28.9
2024-12-29,Kuching,0.686,1500,5,-0.352,16.4,28.4
2024-12-30,Kuching,0.688,1500,5,-0.441,14.8,29.1
2024-12-31,Kuching,0.698,1500,5,-0.416,17.4,28.5
2025-01-01,Kuching,0.689,1500,5,-0.527,21.3,28.5
2025-01-02,Kuching,0.686,1500,5,-0.557,19.4,29
2025-01-03,Kuching,0.683,1500,5,-0.679,17.6,28.4
2025-01-04,Kuching,0.669,1500,5,-0.31,19.9,28.6
2025-01-05,Kuching,0.676,1500,5,-0.286,22.1,27.9
2025-01-06,Kuching,0.681,1500,5,-0.377,19.8,27.7
2025-01-07,Kuching,0.683,1500,5,-0.318,18,28.1
2025-01-08,Kuching,0.682,1500,5,-0.318,16.8,27.3
2025-01-09,Kuching,0.67,1500,5,-0.335,13.7,27.8
2025-01-10,Kuching,0.67,1500,5,-0.226,11.9,28
2025-01-11,Kuching,0.67,1500,5,-0.112,10.2,28.5
2025-01-12,Kuching,0.666,1500,5,-0.209,9.3,28.7
2025-01-13,Kuching,0.669,1500,5,-0.299,10,29.5
2025-01-14,Kuching,0.678,1500,5,-0.331,11.1,29.5
2025-01-15,Kuching,0.7,1500,5,-0.664,14.7,29.2
2025-01-16,Kuching,0.701,1500,5,-0.829,12.7,29.2
2025-01-17,Kuching,0.704,1500,5,-0.538,15,29.5
2025-01-18,Kuching,0.702,1500,5,-0.25,14.5,29.4
2025-01-19,Kuching,0.683,1500,5,-0.29,14.5,29.3
2025-01-20,Kuching,0.685,1500,5,-0.201,15.9,28.8
2025-01-21,Kuching,0.688,1500,5,-0.165,13.6,28.4
2025-01-22,Kuching,0.715,1500,5,0.279,14.6,27.6
2025-01-23,Kuching,0.711,1500,5,0.362,15,28.8
2025-01-24,Kuching,0.713,1500,5,0.245,16.1,28.1
2025-01-25,Kuching,0.711,1500,5,0.02,16.6,27.7
2025-01-26,Kuching,0.698,1500,5,-0.269,21.3,27.4
2025-01-27,Kuching,0.711,1500,5,-0.244,19.2,28.2
2025-01-28,Kuching,0.717,1500,5,-0.367,17.7,28.1
2025-01-29,Kuching,0.723,1500,5,-0.573,16.2,28.9
2025-01-30,Kuching,0.712,1500,5,-0.632,15,28.4
2025-01-31,Kuching,0.725,1500,5,-0.748,13.9,28.6
2025-02-01,Kuching,0.708,1500,5,-0.431,16.7,28.1
2025-02-02,Kuching,0.714,1500,5,-0.284,19.5,29.4
2025-02-03,Kuching,0.735,1500,5,-0.293,17.9,28.6
2025-02-04,Kuching,0.721,1500,5,-0.078,16,28.8
2025-02-05,Kuching,0.713,1500,5,-0.106,17.1,29.1
2025-02-06,Kuching,0.713,1500,5,-0.271,15.9,29.2
2025-02-07,Kuching,0.707,1500,5,-0.054,17.3,29
2025-02-08,Kuching,0.692,1500,5,-0.018,17.7,28.8
2025-02-09,Kuching,0.695,1500,5,-0.225,14.6,28.8
2025-02-10,Kuching,0.687,1500,5,-0.273,18.1,28.7
2025-02-11,Kuching,0.695,1500,5,-0.418,21.5,29.2
2025-02-12,Kuching,0.688,1500,5,-0.617,19.7,30.4
2025-02-13,Kuching,0.706,1500,5,-0.441,18.6,29.7
2025-02-14,Kuching,0.699,1500,5,-0.144,19,28.7
2025-02-15,Kuching,0.697,1500,5,-0.388,19.5,28.6
2025-02-16,Kuching,0.707,1500,5,-0.302,20.5,30.1
2025-02-17,Kuching,0.695,1500,5,-0.411,24.2,29.4
2025-02-18,Kuching,0.7,1500,5,-0.48,22.9,30.2
2025-02-19,Kuching,0.714,1500,5,-0.554,20.6,30.9
2025-02-20,Kuching,0.698,1500,5,-0.658,17.5,30.2
2025-02-21,Kuching,0.701,1500,5,-0.61,16.1,30.2
2025-02-22,Kuching,0.705,1500,5,-0.702,16.4,30.9
2025-02-23,Kuching,0.714,1500,5,-0.614,20.3,30.3
2025-02-24,Kuching,0.701,1500,5,-0.589,19,29.9
2025-02-25,Kuching,0.689,1500,5,-0.595,19.4,29.3
2025-02-26,Kuching,0.698,1500,5,-0.701,19.3,28.5
2025-02-27,Kuching,0.702,1500,5,-0.742,21.6,28.1
2025-02-28,Kuching,0.706,1500,5,-0.577,26.2,27.4
2025-03-01,Kuching,0.71,1500,5,-0.475,24.1,27.5
2025-03-02,Kuching,0.703,1500,5,-0.61,22.4,27.1
2025-03-03,Kuching,0.707,1500,5,-0.564,24,27.4
2025-03-04,Kuching,0.71,1500,5,-0.427,24.7,26.6
2025-03-05,Kuching,0.703,1500,5,-0.673,27.6,27.1
2025-03-06,Kuching,0.723,1500,5,-0.551,27.5,27.7
2025-03-07,Kuching,0.725,1500,5,-0.628,25.6,26.6
2025-03-08,Kuching,0.711,1500,5,-0.509,25.9,27.1
2025-03-09,Kuching,0.717,1500,5,-0.607,27.2,28
2025-03-10,Kuching,0.706,1500,5,-0.847,27.7,27.3
2025-03-11,Kuching,0.715,1500,5,-1.024,27.6,28.4
2025-03-12,Kuching,0.725,1500,5,-0.924,28.5,28.6
2025-03-13,Kuching,0.714,1500,5,-0.807,29.6,28.1
2025-03-14,Kuching,0.723,1500,5,-0.881,31,28.1
2025-03-15,Kuching,0.725,1500,5,-0.713,30.6,28.5
2025-03-16,Kuching,0.731,1500,5,-0.915,28.7,28.5
2025-03-17,Kuching,0.746,1500,5,-0.848,27.8,28.8
2025-03-18,Kuching,0.738,1500,5,-0.962,29.1,28.1
2025-03-19,Kuching,0.726,1500,5,-0.975,26.2,28.2
2025-03-20,Kuching,0.714,1500,5,-0.881,26.1,27.4
2025-03-21,Kuching,0.704,1500,5,-0.937,24.5,27.4
2025-03-22,Kuching,0.704,1500,5,-0.913,23.9,27
2025-03-23,Kuching,0.707,1500,5,-0.684,26,26.8
2025-03-24,Kuching,0.71,1500,5,-0.726,25.6,27.7
2025-03-25,Kuching,0.717,1500,5,-0.55,25,28.5
2025-03-26,Kuching,0.715,1500,5,-0.695,21.7,28.8
2025-03-27,Kuching,0.728,1500,5,-0.568,23.1,28.1
2025-03-28,Kuching,0.722,1500,5,-0.324,24.1,27.9
2025-03-29,Kuching,0.746,1500,5,-0.703,27.9,28.7
2025-03-30,Kuching,0.746,1500,5,-0.774,26.3,28.7
2025-03-31,Kuching,0.731,1500,5,-0.627,26,30.1
2025-04-01,Kuching,0.715,1500,5,-0.619,25.8,30
2025-04-02,Kuching,0.718,1500,5,-0.526,28.3,29.9
2025-04-03,Kuching,0.713,1500,5,-0.593,27,29.5
2025-04-04,Kuching,0.718,1500,5,-0.545,26.7,29.4
2025-04-05,Kuching,0.72,1500,5,-0.541,27.2,29.1
2025-04-06,Kuching,0.716,1500,5,-0.338,26.7,29.5
2025-04-07,Kuching,0.705,1500,5,-0.302,25,29.9
2025-04-08,Kuching,0.689,1500,5,-0.259,24.9,29.2
2025-04-09,Kuching,0.685,1500,5,-0.334,26.6,28.3
2025-04-10,Kuching,0.696,1500,5,-0.408,23.8,27.2
2025-04-11,Kuching,0.698,1500,5,-0.463,23.7,27.7
2025-04-12,Kuching,0.685,1500,5,-0.385,22,27.2
2025-04-13,Kuching,0.688,1500,5,-0.44,24.4,26.1
2025-04-14,Kuching,0.693,1500,5,-0.38,20.9,26.7
2025-04-15,Kuching,0.684,1500,5,-0.06,20,28.4
2025-04-16,Kuching,0.687,1500,5,0.032,21,28.5
2025-04-17,Kuching,0.688,1500,5,-0.069,24.3,29
2025-04-18,Kuching,0.677,1500,5,0.075,23.8,29
2025-04-19,Kuching,0.683,1500,5,-0.044,22.4,28.9
2025-04-20,Kuching,0.689,1500,5,-0.388,26.1,29.4
2025-04-21,Kuching,0.7,1500,5,-0.526,22.6,29.1
2025-04-22,Kuching,0.709,1500,5,-0.771,18.1,29.2
2025-04-23,Kuching,0.692,1500,5,-0.752,19.5,29.3
2025-04-24,Kuching,0.682,1500,5,-0.679,18.9,28.8
2025-04-25,Kuching,0.688,1500,5,-0.367,17.3,29.4
2025-04-26,Kuching,0.692,1500,5,-0.304,19.4,29.2
2025-04-27,Kuching,0.696,1500,5,-0.331,20.3,28.7
2025-04-28,Kuching,0.733,1500,5,-0.197,19.4,29
2025-04-29,Kuching,0.731,1500,5,-0.537,17.3,28.5
2025-04-30,Kuching,0.735,1500,5,-0.459,19.7,28.5
2025-05-01,Kuching,0.737,1500,5,-0.312,21.4,28.6
2025-05-02,Kuching,0.735,1500,5,-0.523,21.3,29.3
2025-05-03,Kuching,0.724,1500,5,-0.308,25.1,29.5
2025-05-04,Kuching,0.725,1500,5,-0.246,22.5,29.4
2025-05-05,Kuching,0.71,1500,5,-0.305,19.4,29.8
2025-05-06,Kuching,0.703,1500,5,-0.197,18.4,30.6
2025-05-07,Kuching,0.694,1500,5,0.141,18.8,30.7
2025-05-08,Kuching,0.692,1500,5,0.116,19.8,30.4
2025-05-09,Kuching,0.713,1500,5,0.106,19.6,29.4
2025-05-10,Kuching,0.688,1500,5,-0.008,20.7,28.8
2025-05-11,Kuching,0.693,1500,5,-0.163,18.4,28.6
2025-05-12,Kuching,0.674,1500,5,-0.041,21.8,28.3
2025-05-13,Kuching,0.669,1500,5,-0.19,21.6,28.4
2025-05-14,Kuching,0.68,1500,5,-0.176,23.9,28.5
2025-05-15,Kuching,0.679,1500,5,-0.246,24.3,29
2025-05-16,Kuching,0.667,1500,5,-0.161,24.8,29
2025-05-17,Kuching,0.66,1500,5,-0.109,25.5,29.3
2025-05-18,Kuching,0.668,1500,5,0.041,25.8,29.4
2025-05-19,Kuching,0.66,1500,5,-0.062,26.5,28.2
2025-05-20,Kuching,0.663,1500,5,-0.113,28.5,27.8
2025-05-21,Kuching,0.664,1500,5,-0.262,27.8,28
2025-05-22,Kuching,0.658,1500,5,-0.307,28.3,27.5
2025-05-23,Kuching,0.68,1500,5,-0.221,27.1,28.1
2025-05-24,Kuching,0.684,1500,5,-0.09,29.2,29.3
2025-05-25,Kuching,0.66,1500,5,-0.23,26.7,30
2025-05-26,Kuching,0.662,1500,5,-0.079,29.5,29.8
2025-05-27,Kuching,0.655,1500,5,0.124,28.2,30.7
2025-05-28,Kuching,0.664,1500,5,0.156,24.3,30.6
2025-05-29,Kuching,0.655,1500,5,0.403,24.1,30.3
2025-05-30,Kuching,0.655,1500,5,0.217,22.3,29.8
2025-05-31,Kuching,0.66,1500,5,-0.011,23.8,29.6
2025-06-01,Kuching,0.668,1500,5,-0.284,22.1,29.4
2025-06-02,Kuching,0.654,1500,5,-0.023,21.1,29.6
2025-06-03,Kuching,0.651,1500,5,0.073,17.3,29.7
2025-06-04,Kuching,0.646,1500,5,0.049,17,29.7
2025-06-05,Kuching,0.641,1500,5,0.08,12.7,30
2025-06-06,Kuching,0.66,1500,5,-0.103,10.8,30.7
2025-06-07,Kuching,0.662,1500,5,0.278,13.8,31.2
2025-06-08,Kuching,0.648,1500,5,0.255,16.4,30.1
2025-06-09,Kuching,0.657,1500,5,0.234,17.9,28.6
2025-06-10,Kuching,0.677,1500,5,0.309,16.4,29.3
2025-06-11,Kuching,0.683,1500,5,0.338,16.9,28.6
2025-06-12,Kuching,0.662,1500,5,0.325,17.4,28.7
2025-06-13,Kuching,0.655,1500,5,0.162,15.6,28.2
2025-06-14,Kuching,0.666,1500,5,0.214,19.3,27.4
2025-06-15,Kuching,0.656,1500,5,0.471,21.2,28.2
2025-06-16,Kuching,0.658,1500,5,0.61,20.6,28.9
2025-06-17,Kuching,0.663,1500,5,0.767,20.6,28.8
2025-06-18,Kuching,0.651,1500,5,0.585,20.9,27.5
2025-06-19,Kuching,0.649,1500,5,0.36,16.7,27.6
2025-06-20,Kuching,0.615,1500,5,0.299,16.7,28.2
2025-06-21,Kuching,0.608,1500,5,0.276,15.8,27.7
2025-06-22,Kuching,0.61,1500,5,0.412,14.4,28.2
2025-06-23,Kuching,0.602,1500,5,0.112,14.6,28.5
2025-06-24,Kuching,0.623,1500,5,0.34,19,29.2
2025-06-25,Kuching,0.611,1500,5,0.283,20.3,29.4
2025-06-26,Kuching,0.61,1500,5,0.194,19,29
2025-06-27,Kuching,0.615,1500,5,0.032,20.2,30
2025-06-28,Kuching,0.632,1500,5,-0.201,22.9,30
2025-06-29,Kuching,0.618,1500,5,-0.026,24.2,30.1
2025-06-30,Kuching,0.632,1500,5,0.011,23.5,29.6
2025-07-01,Kuching,0.632,1500,5,-0.161,21.5,29.5
2025-07-02,Kuching,0.622,1500,5,-0.308,22.5,29.1
2025-07-03,Kuching,0.628,1500,5,-0.287,22.8,29.3
2025-07-04,Kuching,0.63,1500,5,0.032,23.9,30.5
2025-07-05,Kuching,0.624,1500,5,0.015,24.4,29.7
2025-07-06,Kuching,0.625,1500,5,-0.185,25.6,28.9
2025-07-07,Kuching,0.622,1500,5,-0.166,23.5,30.1
2025-07-08,Kuching,0.623,1500,5,-0.152,25.3,30.1
2025-07-09,Kuching,0.63,1500,5,-0.503,24.7,29.8
2025-07-10,Kuching,0.646,1500,5,-0.405,27.8,30.6
2025-07-11,Kuching,0.63,1500,5,-0.347,25,30.3
2025-07-12,Kuching,0.65,1500,5,-0.157,27.4,31.5
2025-07-13,Kuching,0.627,1500,5,0.178,26.4,31.8
2025-07-14,Kuching,0.625,1500,5,0.355,23.8,31.4
2025-07-15,Kuching,0.63,1500,5,0.297,21.9,32.7
2025-07-16,Kuching,0.632,1500,5,0.123,20.6,32.1
2025-07-17,Kuching,0.624,1500,5,0.528,21,32.4
2025-07-18,Kuching,0.621,1500,5,0.495,21.5,32.4
2025-07-19,Kuching,0.616,1500,5,0.462,19.7,33
2025-07-20,Kuching,0.611,1500,5,0.429,19.2,33.6
2025-07-21,Kuching,0.621,1500,5,0.435,23.2,33.3
2025-07-22,Kuching,0.624,1500,5,0.389,25.7,32.5
2025-07-23,Kuching,0.616,1500,5,0.286,25.2,32.6
2025-07-24,Kuching,0.625,1500,5,0.204,24,32
2025-07-25,Kuching,0.627,1500,5,0.212,23.2,33.1
2025-07-26,Kuching,0.634,1500,5,0.143,23.4,32.9
2025-07-27,Kuching,0.637,1500,5,0.059,20.3,32.5
2025-07-28,Kuching,0.626,1500,5,0.112,19.2,32.4
2025-07-29,Kuching,0.619,1500,5,0.103,15.4,31.5
2025-07-30,Kuching,0.626,1500,5,0.36,16.3,30.9
2025-07-31,Kuching,0.63,1500,5,-0.044,17.5,31.7
2025-08-01,Kuching,0.628,1500,5,0.174,16.3,31.2
2025-08-02,Kuching,0.627,1500,5,0.384,19.4,30.6
2025-08-03,Kuching,0.638,1500,5,0.065,16.4,31.1
2025-08-04,Kuching,0.628,1500,5,0.053,13.3,31.9
2025-08-05,Kuching,0.631,1500,5,0.04,14.1,32.2
2025-08-06,Kuching,0.626,1500,5,-0.126,16.4,32.7
2025-08-07,Kuching,0.622,1500,5,-0.172,19.6,32.1
2025-08-08,Kuching,0.632,1500,5,-0.261,18,31.2
2025-08-09,Kuching,0.637,1500,5,0.094,19.7,32.1
2025-08-10,Kuching,0.641,1500,5,0.273,18.9,31.9
2025-08-11,Kuching,0.65,1500,5,0.477,18,31.7
2025-08-12,Kuching,0.644,1500,5,0.568,19.3,32.5
2025-08-13,Kuching,0.646,1500,5,0.368,19.9,32.7
2025-08-14,Kuching,0.638,1500,5,0.289,15.9,32.8
2025-08-15,Kuching,0.637,1500,5,0.374,18.6,33.9
2025-08-16,Kuching,0.632,1500,5,0.191,20.8,33.2
2025-08-17,Kuching,0.629,1500,5,0.325,18.5,33.5
2025-08-18,Kuching,0.632,1500,5,0.297,18.7,33.3
2025-08-19,Kuching,0.621,1500,5,0.253,19,33.2
2025-08-20,Kuching,0.64,1500,5,0.379,18.7,33.9
2025-08-21,Kuching,0.626,1500,5,0.446,16.9,33.9
2025-08-22,Kuching,0.611,1500,5,0.383,15.1,33.9
2025-08-23,Kuching,0.622,1500,5,0.558,14.8,34.2
2025-08-24,Kuching,0.628,1500,5,0.37,17,33.6
2025-08-25,Kuching,0.632,1500,5,0.466,17.5,32.8
2025-08-26,Kuching,0.635,1500,5,0.544,16.2,32
2025-08-27,Kuching,0.631,1500,5,0.475,17.3,30.8
2025-08-28,Kuching,0.619,1500,5,0.512,11,32.2
2025-08-29,Kuching,0.618,1500,5,0.307,13.6,31.5
2025-08-30,Kuching,0.61,1500,5,0.459,10,31.4
2025-08-31,Kuching,0.62,1500,5,0.422,9.7,31.3
2025-09-01,Kuching,0.617,1500,5,0.341,8,31.5
2025-09-02,Kuching,0.608,1500,5,0.507,6.1,32.1
2025-09-03,Kuching,0.605,1500,5,0.385,9.4,32.6
2025-09-04,Kuching,0.61,1500,5,0.177,8.9,32.1
2025-09-05,Kuching,0.604,1500,5,-0.023,10.2,31.9
2025-09-06,Kuching,0.597,1500,5,0.132,10.4,32.1
2025-09-07,Kuching,0.601,1500,5,-0.02,11.6,31.9
2025-09-08,Kuching,0.605,1500,5,0.307,11.9,32.9
2025-09-09,Kuching,0.601,1500,5,0.009,9.4,33
2025-09-10,Kuching,0.598,1500,5,0.322,11.8,33.3
2025-09-11,Kuching,0.602,1500,5,0.366,10.8,33.4
2025-09-12,Kuching,0.589,1500,5,0.356,7.9,33.9
2025-09-13,Kuching,0.579,1500,5,0.281,7.6,33.7
2025-09-14,Kuching,0.577,1500,5,0.359,11.2,32.6
2025-09-15,Kuching,0.58,1500,5,0.359,13,32.7
2025-09-16,Kuching,0.588,1500,5,0.531,12.1,32.2
2025-09-17,Kuching,0.606,1500,5,0.528,11.3,31.8
2025-09-18,Kuching,0.616,1500,5,0.53,10.7,32.2
2025-09-19,Kuching,0.614,1500,5,0.456,15,32.9
2025-09-20,Kuching,0.614,1500,5,0.438,15.2,32.7
2025-09-21,Kuching,0.604,1500,5,0.477,15.5,32.8
2025-09-22,Kuching,0.606,1500,5,0.207,16.9,33.6
2025-09-23,Kuching,0.604,1500,5,0.032,16.5,33.5
2025-09-24,Kuching,0.609,1500,5,0.197,15.2,34.8
2025-09-25,Kuching,0.602,1500,5,0.251,14.2,34.7
2025-09-26,Kuching,0.609,1500,5,0.243,13.5,33.2
2025-09-27,Kuching,0.626,1500,5,0.266,13.1,33.4
2025-09-28,Kuching,0.623,1500,5,0.335,14.2,33.4
2025-09-29,Kuching,0.627,1500,5,0.26,13.8,33.9
2025-09-30,Kuching,0.632,1500,5,0.16,14.8,34
2024-10-01,Sibu,0.617,1200,5,0.379,11,31.7
2024-10-02,Sibu,0.605,1200,5,0.214,11.9,30.1
2024-10-03,Sibu,0.605,1200,5,0.447,15.7,30.3
2024-10-04,Sibu,0.599,1200,5,0.419,12.2,30.7
2024-10-05,Sibu,0.597,1200,5,0.412,12.3,31.4
2024-10-06,Sibu,0.607,1200,5,0.51,10.7,30.8
2024-10-07,Sibu,0.626,1200,5,0.52,11.5,31
2024-10-08,Sibu,0.629,1200,5,0.637,11.4,30.5
2024-10-09,Sibu,0.617,1200,5,0.636,9.9,30.8
2024-10-10,Sibu,0.622,1200,5,0.499,11,30.4
2024-10-11,Sibu,0.635,1200,5,0.529,14.5,30.3
2024-10-12,Sibu,0.627,1200,5,0.327,13.5,29.9
2024-10-13,Sibu,0.626,1200,5,0.343,14.4,30.5
2024-10-14,Sibu,0.626,1200,5,0.335,11.2,31.2
2024-10-15,Sibu,0.619,1200,5,0.301,9.1,31.1
2024-10-16,Sibu,0.627,1200,5,0.284,10.2,31.1
2024-10-17,Sibu,0.626,1200,5,0.005,13.2,30.3
2024-10-18,Sibu,0.631,1200,5,-0.032,13.4,30.3
2024-10-19,Sibu,0.622,1200,5,0.032,12.3,30.4
2024-10-20,Sibu,0.619,1200,5,0.095,11.9,32.1
2024-10-21,Sibu,0.628,1200,5,-0.03,9.2,31.3
2024-10-22,Sibu,0.625,1200,5,0.207,10.5,32.2
2024-10-23,Sibu,0.643,1200,5,0.088,12.2,32.7
2024-10-24,Sibu,0.638,1200,5,0.262,10.9,32.6
2024-10-25,Sibu,0.64,1200,5,0.327,9.9,33.5
2024-10-26,Sibu,0.649,1200,5,0.221,10.4,33.3
2024-10-27,Sibu,0.633,1200,5,0.493,9.5,33.3
2024-10-28,Sibu,0.616,1200,5,0.278,9.4,32.9
2024-10-29,Sibu,0.604,1200,5,0.412,13.7,33.4
2024-10-30,Sibu,0.622,1200,5,0.537,12.6,33.7
2024-10-31,Sibu,0.619,1200,5,0.391,11.5,32.9
2024-11-01,Sibu,0.648,1200,5,0.577,10,31.8
2024-11-02,Sibu,0.641,1200,5,0.487,11.5,31.6
2024-11-03,Sibu,0.643,1200,5,0.49,10.9,31
2024-11-04,Sibu,0.658,1200,5,0.488,9.5,31
2024-11-05,Sibu,0.676,1200,5,0.426,12.2,31.7
2024-11-06,Sibu,0.692,1200,5,0.514,14.7,31.3
2024-11-07,Sibu,0.697,1200,5,0.586,12.8,31.2
2024-11-08,Sibu,0.7,1200,5,0.264,8.7,31.2
2024-11-09,Sibu,0.698,1200,5,0.448,10.9,31.7
2024-11-10,Sibu,0.698,1200,5,0.159,9.4,30.2
2024-11-11,Sibu,0.685,1200,5,0.316,11.1,29.9
2024-11-12,Sibu,0.672,1200,5,0.462,7,30.2
2024-11-13,Sibu,0.668,1200,5,0.253,9.3,31
2024-11-14,Sibu,0.664,1200,5,0.177,7,30.6
2024-11-15,Sibu,0.658,1200,5,0.007,8.9,29.5
2024-11-16,Sibu,0.664,1200,5,-0.005,9.2,30.1
2024-11-17,Sibu,0.672,1200,5,-0.031,7.4,29.8
2024-11-18,Sibu,0.67,1200,5,0.11,7,29.2
2024-11-19,Sibu,0.683,1200,5,0.309,8.9,29
2024-11-20,Sibu,0.667,1200,5,0.489,9.3,29.1
2024-11-21,Sibu,0.664,1200,5,0.347,10.7,29
2024-11-22,Sibu,0.656,1200,5,0.279,14.6,27.9
2024-11-23,Sibu,0.638,1200,7,-0.001,10.9,28.8
